theme_name,discussion_id,challenge,confidence_score,justification,multi_theme_mapped
Distance and Accessibility Issues,3177,The road to school is impassable and there is no bus service.,0.95,"The statement mentions 'road to school is impassable' and 'no bus service', both indicating transportation and accessibility barriers that prevent children from reaching school.",FALSE
Safety Concerns,3168,Domestic violence against women is a significant issue in the community.,0.95,The statement mentions 'violence against women' which directly relates to safety concerns affecting the community environment. This aligns with Theme 8 examples that include 'Violence against women is a significant issue.',FALSE
Distance and Accessibility Issues,3139,I don't take the bus to school.,0.75,"The statement mentions not taking the bus to school, which relates to transportation challenges that affect school accessibility and attendance.",FALSE
Early Marriage,3153,"The community is facing the problem of child marriage, which hinders children's education and development.",1,"The statement explicitly mentions 'child marriage' as a problem that 'hinders children's education and development', which directly aligns with Theme 3 focusing on early marriage preventing educational continuation.",FALSE
Distance and Accessibility Issues,3137,The community shared that the bad road was a challenge.,0.95,"The statement mentions 'bad road' which directly relates to poor infrastructure affecting children's ability to reach school, fitting the accessibility and transportation challenges described in Theme 4.",FALSE
School Infrastructure and Facility Issues,3142,"The building is not in good condition, which affects the learning environment and safety of students.",0.95,"The statement mentions 'building is not in good condition' and 'affects the learning environment', which directly relates to inadequate school infrastructure and facilities that hinder the educational environment.",FALSE
School Infrastructure and Facility Issues,3181,About providing playgrounds for school children,0.9,"The statement refers to the lack of playgrounds, which is a school infrastructure and facility gap that affects the learning environment and resources available to children.",FALSE
Teacher Capacity and Quality Issues,3140,There is a shortage of teachers to start LKG and UKG in the school.,0.95,"The statement explicitly mentions 'shortage of teachers' which directly relates to insufficient teaching staff, a core issue under teacher capacity challenges.",FALSE
Teacher Capacity and Quality Issues,3173,The shortage of teachers for children's lessons is a problem.,0.95,The statement explicitly mentions 'shortage of teachers' which directly relates to insufficient teaching staff affecting the learning environment.,FALSE
Early Marriage,3181,Child marriage,1,"The statement directly mentions 'child marriage,' which is the core issue of Theme 3 that prevents children, especially girls, from continuing their education.",FALSE
Safety Concerns,3173,"The school is on a main road, making it difficult for children to cross.",0.9,"The challenge describes a safety hazard where children face difficulty crossing a main road to reach school, creating concerns about their physical safety during travel.",FALSE
Parental Attitudes and Socio-Cultural Barriers,20449,"Kaushalya didi said that she has left after completing eighth grade and will not enroll her in ninth grade, she works at home.",0.85,"The statement mentions 'Kaushalya didi' (a personal name) and describes a decision to keep the girl at home for domestic work after eighth grade, reflecting parental attitudes that prioritize household duties over continued education.",FALSE
Teacher Capacity and Quality Issues,3155,Teacher shortage,1,"The phrase 'Teacher shortage' directly indicates insufficient number of teachers in the school, which aligns with Theme 7 examples such as 'There is a shortage of teachers in the school'.",FALSE
School Infrastructure and Facility Issues,21071,"Due to lack of toilets in the school, the girls of the village are not able to go to school.",0.95,"The challenge explicitly mentions 'lack of toilets in the school' which is a clear infrastructure gap that prevents girls from attending school, directly matching the theme's definition of inadequate school facilities and basic amenities.",FALSE
Early Marriage,3167,About marriage of girls according to age,0.85,"The phrase 'marriage of girls according to age' refers to the practice of early or child marriage, which is a prevalent barrier preventing girls from continuing their education as defined in Theme 3.",FALSE
Parental Attitudes and Socio-Cultural Barriers,21579,"Some sisters, after educating their children till middle school, do not send them for further education. After middle school, there is no school in the village and one has to go far away, hence there is some problem and the guardians also do not want to study and the children also do not want to study.",0.8,"The phrase 'guardians also do not want to study' reflects parental attitudes and mindsets that discourage children from continuing education, which aligns with Theme 5 addressing parental beliefs as barriers.",TRUE
School Infrastructure and Facility Issues,22732,Not attending school due to lack of sanitation,0.95,"The phrase 'lack of sanitation' directly refers to inadequate school facilities and infrastructure gaps, which is a core indicator of Theme 6.",FALSE
School Infrastructure and Facility Issues,3146,Lack of toilets for children,1,"The phrase 'Lack of toilets' directly indicates inadequate sanitation facilities in schools, which is a core infrastructure gap mentioned in Theme 6 examples.",FALSE
Distance and Accessibility Issues,3164,"The transportation system is a significant problem, making it difficult for children to reach school on time.",0.95,"The statement explicitly mentions 'transportation system' as a problem affecting children's ability to reach school, which directly aligns with Theme 4's definition covering poor transport infrastructure.",FALSE
School Infrastructure and Facility Issues,3146,Playground problem,0.95,"The term 'Playground problem' refers to insufficient or inadequate playground facilities for children, which aligns with Theme 6 examples mentioning 'not enough playgrounds for sports children'.",FALSE
School Infrastructure and Facility Issues,3156,Lack of toilets for children in schools,1,The statement explicitly mentions 'lack of toilets' which is a basic school facility and infrastructure gap that affects the learning environment.,FALSE
Distance and Accessibility Issues,3180,"There is a lack of proper transportation system in the community, specifically no bus service, which affects children.",0.95,"The statement explicitly mentions 'lack of proper transportation system' and 'no bus service', which directly relates to accessibility barriers preventing children from reaching school.",FALSE
Distance and Accessibility Issues,3179,Children are having difficulty getting an education due to the lack of transportation in the village.,0.95,"The challenge explicitly mentions 'lack of transportation' which directly relates to accessibility barriers that prevent children from reaching school, a core component of Theme 4.",FALSE
Teacher Capacity and Quality Issues,3156,Children's assessment of teacher shortage.,0.95,"The phrase 'teacher shortage' directly indicates insufficient number of teachers in the school, which is a core issue under teacher capacity challenges.",FALSE
Unknown/Unclear,3155,A complex problem at school,0.75,Does not fit themes 1-10; does not specifically mention awareness or migration,FALSE
