Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440002,Legal Document linked Barriers,"This theme includes responses where children are unable to enroll in school due to missing or incomplete legal documents such as Aadhaar cards, birth certificates, or identity proofs. It captures how lack of proper documentation creates administrative hurdles that keep children out of the education system.","No Aadhar card,no aadhaar,no adhar,aadhar card not made,no birth certificate,lack of Aadhar card,no ID,no id proof,no legal document,no identity proof,enrollment barriers,admission refused,adhar,aadhaar,certificate not made,document pending,lack aadhar,having aadhar,birth certificate,unable study,Aadhaar card errors,date of birth missing,name mismatch,no birth date,birth certificate pending,enrollment blocked,documents not accepted,UID not made,government ID,aadhar errors,aadhaar update,not enrolled due to document,admission refused without document,no documents for school,identity not proven",Approved,2283,18760 | Due to lack of Aadhar card | 1
,,,,,,31110 | Children do not go to school because they do not have Aadhar card. | 0.9113
,,,,,,240 | The problem of children not having Aadhaar card | 0.9498
,,,,,,243 | None of the children have an Aadhaar card | 0.9442
,,,,,,283 | The child does not have an Aadhaar card | 1
,,,,,,"292 | Aadhar cards of children have not been made, due to which they are not getting admission in school | 1"
,,,,,,319 | Children were not enrolled in school due to lack of Aadhar card | 0.9096
,,,,,,"328 | Due to lack of Aadhar cards, schools in the community are facing challenges in enrolling children. | 1"
,,,,,,"353 | Children are not getting admission due to lack of Aadhaar card, which is affecting their education. | 1"
,,,,,,357 | Some children could not be enrolled due to lack of Aadhaar card. | 0.9484
,,,,,,365 | This is also one of the reasons why children do not have Aadhaar cards | 0.9374
,,,,,,413 | Many children are not able to get their Aadhaar card made because they do not have a birth certificate and hence are not able to get admission in school. | 0.9186
,,,,,,417 | Children are not being enrolled due to lack of Aadhaar card | 0.908
,,,,,,452 | Children are not getting enrolled in school due to lack of Aadhar card | 0.9117
,,,,,,454 | Some children do not go to school because they do not have an Aadhaar card | 0.9676
,,,,,,467 | Children are not getting admission in school due to lack of Aadhar card | 0.9524
,,,,,,473 | Children are not getting enrolled in school due to lack of Aadhaar card. | 0.9499
,,,,,,484 | The parents of the children do not have Aadhaar card | 0.9462
,,,,,,"508 | Half of the children in the school are facing problems because they do not have Aadhar cards, due to which no one is allowed to come to school | 0.9055"
,,,,,,"537 | Children in the community do not have Aadhaar cards, which are necessary for enrolment in school. | 0.9308"
,,,,,,567 | The child does not have an Aadhaar card | 1
,,,,,,584 | Children of the community do not have Aadhaar cards | 0.9532
,,,,,,"694 | Due to lack of birth certificates, Aadhaar cards of 10 children could not be made and they are not able to get enrolled in school, which is a major hurdle in their education. | 0.9154"
,,,,,,702 | Children do not have Aadhaar card | 1
,,,,,,728 | Children are not able to get enrolled in schools due to lack of Aadhaar card. | 0.9696
,,,,,,729 | Children are not able to go to school due to lack of Aadhar card. | 0.9294
,,,,,,749 | Many children in our community do not have Aadhaar cards | 0.9625
,,,,,,"771 | Children are not able to get enrolled in school due to lack of Aadhaar card, which is an essential document. | 0.9611"
,,,,,,803 | Children are not able to get enrolled in school due to lack of Aadhaar card. | 0.973
,,,,,,812 | Some children are not able to take admission in school due to lack of Aadhar card. | 0.9239
,,,,,,"893 | Children do not have Aadhaar card, no birth certificate | 0.9136"
,,,,,,"1016 | Aadhaar cards of children have not been made, which may cause problems in their identification and access to services. | 0.9116"
,,,,,,1203 | Many small children are not able to get admission in school due to lack of Aadhar card | 0.9092
,,,,,,"1223 | Children are not able to get admission in school due to lack of Aadhar card, which is an essential document. | 0.9167"
,,,,,,1276 | Children are not being enrolled due to lack of Aadhaar card | 0.908
,,,,,,1288 | Many children have not yet got their Aadhaar cards made and because of this they are not able to get admission in school | 0.9371
