Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440002,Legal Document linked Barriers,"This theme includes responses where children are unable to enroll in school due to missing or incomplete legal documents such as Aadhaar cards, birth certificates, or identity proofs. It captures how lack of proper documentation creates administrative hurdles that keep children out of the education system.","No Aadhar card,no aadhaar,no adhar,aadhar card not made,no birth certificate,lack of Aadhar card,no ID,no id proof,no legal document,no identity proof,enrollment barriers,admission refused,adhar,aadhaar,certificate not made,document pending,lack aadhar,having aadhar,birth certificate,unable study,Aadhaar card errors,date of birth missing,name mismatch,no birth date,birth certificate pending,enrollment blocked,documents not accepted,UID not made,government ID,aadhar errors,aadhaar update,not enrolled due to document,admission refused without document,no documents for school,identity not proven,date of birth not recorded,certificate not available,proper documentation,caste certificate,residence certificate,child registration,non enrolment,wrong name",Approved,217,29294 | To help people get their Aadhar cards made | 0.7711
,,,,,,8627 | To educate villagers about the importance of education and help them obtain Aadhaar cards for their children | 0.7508
,,,,,,"28545 | To correct the date of birth on a child's Aadhaar card, which was preventing them from receiving food and enrolling in school. | 0.7344"
,,,,,,28660 | To create awareness and facilitate the creation of Aadhar cards for children in the community | 0.787
,,,,,,"28661 | To improve access to education by creating Aadhaar cards for children, thereby simplifying the enrollment process and increasing participation in schools. | 0.7998"
,,,,,,28641 | To help children obtain Aadhaar cards and improve their access to education and other benefits | 0.8113
,,,,,,28642 | To improve access to education by facilitating the creation of birth certificates and Aadhaar cards for children | 0.7703
,,,,,,15482 | To solve the problem of Aadhar card not being made | 0.8351
,,,,,,28667 | To increase enrollment by helping people obtain Aadhaar cards | 0.7178
,,,,,,"41555 | To improve access to education for children by facilitating the creation of birth certificates and Aadhar cards, thereby addressing the issue of lack of identification documents hindering enrollment. | 0.8021"
,,,,,,"40562 | To facilitate the creation of Aadhaar cards for 20-30 Mahadalit children, enabling them to receive educational benefits | 0.793"
,,,,,,40567 | To help Dilkhush Kumar get an Aadhar card | 0.7151
,,,,,,40570 | To enroll Anushka Kumari in school despite lack of Aadhar card | 0.7173
,,,,,,40590 | To enroll children in school by obtaining Aadhaar cards for their parents | 0.869
,,,,,,40593 | To help children get enrolled in 9th standard by obtaining Aadhaar cards | 0.7572
,,,,,,41604 | To increase school enrollment by encouraging parents to obtain Aadhaar cards for their children | 0.844
,,,,,,"41610 | To enroll children in school by obtaining Aadhar cards for them, addressing the issue of lack of admission due to missing Aadhar cards | 0.9042"
,,,,,,41614 | To facilitate school enrollment by obtaining Aadhar cards for children | 0.8964
,,,,,,41618 | To help children receive ration at the Aagin Vani Kendra by obtaining their Aadhaar cards and mobile numbers | 0.7073
,,,,,,40611 | To improve education in Bihar by making Aadhar cards for children | 0.8278
,,,,,,40619 | To help children get admitted to school by obtaining necessary documents like Aadhar cards and birth certificates | 0.8135
,,,,,,41635 | To improve access to education by facilitating the creation of birth certificates and Aadhar cards for children | 0.8084
,,,,,,"40622 | To ensure children can attend school by obtaining Aadhar cards, addressing the issue of lack of admission due to missing Aadhar cards | 0.8992"
,,,,,,41660 | To ensure children receive their rights by obtaining an Aadhar card | 0.7879
,,,,,,41662 | To enroll children in school by facilitating Aadhar card creation for their parents | 0.8726
,,,,,,"41663 | To ensure that all children can enroll in school without any obstacles, by providing them with the necessary documents like Aadhaar cards. | 0.8151"
,,,,,,41672 | To generate Aadhaar cards for children by correcting their date of birth | 0.7471
,,,,,,40667 | To help Neha Kumari get her birth certificate and Aadhar card made so she can enroll in school | 0.7029
,,,,,,"41684 | To help children in Shankarpur village get Aadhar cards and enroll in school, addressing the issue of lack of identification and access to education | 0.8188"
,,,,,,40691 | To enroll children in school by obtaining Aadhar cards through community efforts | 0.9211
,,,,,,40692 | To enroll children in school who were unable to do so due to lack of Aadhaar cards | 0.9002
,,,,,,"40697 | To facilitate the creation of Aadhar cards and birth certificates for underprivileged children, enabling them to access essential government services and education | 0.7841"
,,,,,,40701 | To improve education in Bariyarpur Majhi Tola by providing Aadhar cards and residential addresses to children and enrolling them in school | 0.713
,,,,,,40722 | To enroll a child in school by creating awareness about the importance of education among parents and obtaining necessary documents such as date of birth and Aadhar card | 0.7978
,,,,,,40731 | To enroll children in school by registering them for Aadhaar cards and addressing the issue of non-enrollment due to lack of necessary documents | 0.8604
,,,,,,40802 | To enroll children in school by obtaining necessary documents such as birth certificates and Aadhar cards | 0.8352
,,,,,,40830 | To provide Aadhaar cards for children to enroll in school | 0.8724
,,,,,,"40783 | To correct errors in Aadhaar cards and enroll children in school, ensuring they receive necessary facilities and benefits | 0.8182"
,,,,,,"40786 | To increase school enrolment by assisting parents in obtaining Aadhaar cards for their children, thus addressing the issue of incomplete documents | 0.8278"
,,,,,,40787 | To enroll children in school by correcting their Aadhar cards | 0.869
,,,,,,40870 | To resolve the issue of children not having Aadhaar cards and facilitate their admission to government schools | 0.897
,,,,,,40872 | To facilitate the enrollment of children in school by obtaining Aadhaar cards for those without them | 0.8532
,,,,,,40874 | To correct the date of birth in the Aadhaar card and enroll children in government schools | 0.7338
,,,,,,40877 | To get an Aadhar card made and enroll in school | 0.8116
,,,,,,40883 | To improve education by enrolling students with Aadhaar cards | 0.8145
,,,,,,40887 | To enroll 22 children in school who did not have Aadhaar cards and were not enrolled in school due to various reasons | 0.8852
,,,,,,40968 | To help children get enrolled in school by making their Aadhar cards | 0.8858
,,,,,,40974 | To ensure every student has an Aadhaar card for educational benefits | 0.792
,,,,,,"40992 | To enroll children in school by obtaining Aadhar cards for them, addressing the issue of parents being less educated and busy with labor work | 0.8671"
,,,,,,40995 | To help Shivani Kumari get enrolled in school by obtaining her birth certificate and Aadhaar card | 0.7062
,,,,,,40996 | To ensure all children have Aadhar cards for school enrollment | 0.8823
,,,,,,40997 | To enroll four children in Primary School Pandey Prasav by making their Aadhar cards | 0.8055
,,,,,,41011 | To solve the problem of delay in enrollment due to lack of Aadhar card | 0.7409
,,,,,,41017 | To ensure Nasir's school enrollment by correcting his Aadhaar card | 0.7379
,,,,,,41022 | To improve education by enrolling children in school through Aadhaar card registration | 0.854
,,,,,,"41024 | To facilitate the creation of Aadhaar cards for children in Majhauliya Panchayat, ensuring they receive benefits and access to education | 0.7514"
,,,,,,41026 | To ensure all children in Dubaha village have Aadhaar cards to access education and government benefits | 0.7552
,,,,,,"28574 | To facilitate the registration of Aadhaar cards for children in the community, addressing the issue of many children lacking this essential document | 0.8288"
,,,,,,41036 | To improve education by facilitating Aadhar card enrollment for students | 0.8113
,,,,,,41053 | To help a child get an Aadhar card and enroll in school | 0.8515
,,,,,,"41057 | To improve education by facilitating the creation of birth certificates and Aadhaar cards for underprivileged children, enabling their enrollment in schools. | 0.7742"
,,,,,,41075 | To ensure children receive government scheme benefits by correcting errors in their Aadhaar cards | 0.7274
,,,,,,41086 | To solve the problem of Aadhar card enrollment for school students | 0.8384
,,,,,,41087 | To enroll in school by obtaining an Aadhar card through block and district level efforts | 0.8339
,,,,,,41092 | To solve the problem of admission being denied in 6 colleges due to lack of Aadhaar card | 0.7942
,,,,,,"41125 | To improve education by obtaining birth certificates and Aadhar cards for children, enabling them to enroll in higher secondary school | 0.8322"
,,,,,,"41129 | To improve education by ensuring children have birth certificates and Aadhar cards, enabling them to enroll in school | 0.8603"
,,,,,,41161 | To help children without birth certificates or Aadhaar cards enroll in school by assisting them in obtaining these essential documents | 0.7819
,,,,,,41174 | To create Aadhaar cards for children in Mohaniya village to enable their enrollment in school | 0.8213
,,,,,,"41180 | To improve access to government schemes for children in Kaimur, Bihar, by obtaining Aadhaar cards and birth certificates | 0.7053"
,,,,,,41187 | To improve education in rural Bihar by addressing the issue of non-enrolment due to lack of Aadhaar cards | 0.8036
,,,,,,"41211 | To ensure children in Deoria village have Aadhaar cards, enabling them to enroll in school | 0.8206"
,,,,,,41216 | To help children in the village of Dehliya get admission in school by obtaining Aadhaar cards | 0.8015
,,,,,,41218 | To help children enroll in school by correcting their Aadhar cards | 0.8638
,,,,,,41231 | To organize a camp for Aadhar card creation and facilitate school admissions for underprivileged children | 0.8154
,,,,,,41236 | To create Aadhar cards for children to enroll them in school and increase the number of children attending school | 0.8747
,,,,,,"41240 | To solve the problem of children not having Aadhaar cards, which was hindering their school enrollment | 0.8905"
,,,,,,41243 | To help students enroll in school despite errors in their date of birth on Aadhar cards | 0.7692
,,,,,,41278 | To address the issue of parents not being aware of the importance of birth certificates and Aadhaar cards for their children | 0.756
,,,,,,"41282 | To spread awareness about the importance of birth certificates and Aadhaar cards in the community, ensuring timely enrollment of children in schools | 0.8142"
,,,,,,40529 | To get Khushi Kumari an Aadhar card | 0.7303
,,,,,,41292 | To solve the problem of dropping out of school after eighth grade due to issues with Aadhar cards | 0.8082
,,,,,,40539 | To ensure Ankit Kumar's education is not disrupted due to lack of Aadhar card | 0.7876
,,,,,,41319 | To ensure children can attend school by correcting errors in their Aadhaar cards | 0.8207
,,,,,,41327 | To improve education in Katra Kalaa by addressing the issue of lack of Aadhaar cards for children | 0.7766
,,,,,,41340 | To improve school admission by addressing the issue of lack of Aadhar Card | 0.8647
,,,,,,"41352 | To enroll children in school by obtaining Aadhar cards for their parents, addressing the issue of lack of education due to poverty and misunderstanding of its importance | 0.892"
,,,,,,41357 | To increase school enrollment by resolving Aadhar card issues | 0.8616
,,,,,,41358 | To increase school enrollment by facilitating Aadhar card creation for children | 0.8904
,,,,,,41359 | To resolve the issue of children not being able to enroll in school due to lack of Aadhar Card | 0.9186
,,,,,,41432 | To enroll children in school by obtaining Aadhaar cards and understanding the importance of education | 0.8475
,,,,,,41436 | To enroll Kush Kumar in school despite lack of Aadhar card | 0.7054
,,,,,,41437 | To get Rimjhim Kumari an Aadhaar card and enrolled in school | 0.733
,,,,,,"41441 | To help parents obtain Aadhar cards and birth certificates for their children, enabling them to enroll in school and access ration | 0.8246"
,,,,,,41454 | To ensure children can get enrolled in school by correcting errors in their Aadhaar cards | 0.8271
,,,,,,41459 | To enroll children in school who were unable to do so due to lack of Aadhaar | 0.8568
,,,,,,41461 | To solve the problem of Poonam Kumari not having an Aadhar card and not being able to attend school | 0.7439
,,,,,,41462 | To correct the date of birth in Aadhar cards of children to enable their admission in school | 0.7776
,,,,,,41465 | To enroll children in government schools by obtaining Aadhar cards | 0.8773
,,,,,,"41470 | To enroll children in school by obtaining Aadhar cards, ensuring access to government schemes and benefits | 0.8731"
,,,,,,41487 | To enroll children in school by obtaining birth certificates and Aadhar cards | 0.8628
,,,,,,"41509 | To help children in the village get their Aadhar cards made, which was necessary for their school admission | 0.8571"
,,,,,,"41510 | To enroll children in school by creating Aadhaar cards for them, addressing the issue of non-enrollment due to lack of Aadhaar cards | 0.8802"
,,,,,,"41511 | To facilitate the creation of Aadhar cards and birth certificates for children in rural areas, enabling them to access education and government benefits | 0.8078"
,,,,,,"41512 | To generate Aadhar cards for school children who lacked them due to missing date of birth information, thereby enabling their school enrollment. | 0.7938"
,,,,,,"41517 | To assist parents in obtaining Aadhar cards and birth certificates for their children, enabling them to enroll in schools and receive rations. | 0.7046"
,,,,,,41519 | To arrange birth certificates and Aadhar cards for children in the community | 0.738
,,,,,,41520 | To create Aadhar cards for village residents who lacked birth certificates | 0.7022
,,,,,,"41534 | To improve school enrollment by correcting Aadhaar cards for children in Maha Dalit Tola, addressing the issue of lack of awareness and ensuring access to education | 0.8233"
,,,,,,41541 | To increase school enrolment by assisting parents in obtaining Aadhaar cards for their children | 0.8211
,,,,,,41546 | To create Aadhaar cards for children and enroll them in school | 0.8282
,,,,,,48900 | To enroll children in school who were deprived of education due to lack of Aadhaar and birth certificate | 0.8283
,,,,,,48891 | To help children get Aadhar cards so they can attend school | 0.8596
,,,,,,"48930 | To improve student enrollment by facilitating Aadhaar card registration, ensuring children can access their rights and be identified. | 0.7751"
,,,,,,48942 | To improve school attendance by facilitating Aadhar registration for school kids | 0.8398
,,,,,,48970 | To help a child get an Aadhar card and enroll in school | 0.8515
,,,,,,48983 | To resolve Aadhar card errors and increase school enrollment | 0.8125
,,,,,,"48999 | To enroll children in school by obtaining Aadhar cards for those who lacked them, addressing the issue of poverty and lack of awareness | 0.8986"
,,,,,,49006 | To help children in Sangapur village get admission in school by obtaining Aadhar cards and birth certificates | 0.7674
,,,,,,49012 | To help a child get an Aadhar card and enroll in school by providing necessary documentation and support | 0.8372
,,,,,,49015 | To help children get enrolled in school by obtaining birth certificates and Aadhar cards | 0.8617
,,,,,,"49016 | To facilitate school enrollment by obtaining Aadhar cards for children, addressing the issue of lack of identification and access to education | 0.8946"
,,,,,,49022 | To help children without birth certificates or Aadhar cards gain access to education by assisting their parents in obtaining these documents and enrolling them in school. | 0.7885
,,,,,,49042 | To correct Aadhar cards of children and enroll them in Anganwadi | 0.7505
,,,,,,3933 | To address the lack of information in education by enrolling children in school and providing Aadhaar cards | 0.8674
,,,,,,6471 | To improve education by creating awareness among women about its importance and making Aadhar cards for children | 0.7264
,,,,,,28709 | To raise awareness about the importance of Aadhaar cards for children and to encourage parents to register their children | 0.792
,,,,,,4284 | To enroll children in school and provide them with government facilities by obtaining Aadhaar cards | 0.8316
,,,,,,6115 | To ensure all children can enroll in school by obtaining Aadhaar cards with the help of ward number 8 | 0.8304
,,,,,,"7374 | To support and empower education in the community by addressing the issue of children not attending school due to work and ensuring they receive the necessary documentation, such as Aadhaar cards, to enroll in school. | 0.7316"
,,,,,,"28766 | To empower children by obtaining Aadhaar cards for them, thereby providing them with a legal identity and access to various benefits and services | 0.7585"
,,,,,,10087 | To improve education by enrolling children in school through Aadhar card registration | 0.8881
,,,,,,15041 | To get an Aadhar card for the child | 0.8597
,,,,,,18236 | To address the issue of wrong date of birth in Aadhar cards affecting children's access to higher education | 0.7524
,,,,,,29142 | To help a student get his school money by correcting his Aadhar card | 0.722
,,,,,,29181 | To create awareness about the importance of education and the need for Aadhar cards and birth certificates for school enrollment | 0.8174
,,,,,,15062 | To facilitate school enrollment by assisting parents in obtaining Aadhaar cards for their children | 0.8357
,,,,,,10383 | To ensure all students have their Aadhaar cards made to access educational benefits | 0.8005
,,,,,,15128 | To help a child enroll in school by correcting the wrong age on their Aadhaar card | 0.8034
,,,,,,28990 | To help Abhijeet Kumar get his Aadhar card made so he can receive benefits in school | 0.7173
,,,,,,28991 | To help Aryan Kumar get an Aadhar card to benefit from government school | 0.7012
,,,,,,29457 | To educate children about the importance of having an Aadhar card and to help them obtain one | 0.8285
,,,,,,18199 | To address the issue of children being unable to access higher education due to poverty and errors in important documents like Aadhar cards | 0.8155
,,,,,,"29184 | To help a 3-year-old girl get her Aadhaar card made, which was previously not possible due to her age. | 0.7605"
,,,,,,4090 | To motivate parents to get Aadhar cards made for their children | 0.7528
,,,,,,15090 | To address the issue of Anish not getting enrolled in class six due to the lack of an Aadhar card by facilitating the creation of the necessary documentation | 0.7288
,,,,,,5720 | To solve the problem of Aadhar Card among all people | 0.7792
,,,,,,16788 | To improve access to Aadhar cards for children without birth certificates | 0.787
,,,,,,15123 | To help underprivileged children obtain necessary documents like Aadhar cards and birth certificates to enroll in school | 0.8008
,,,,,,"28997 | To improve access to education for children in rural Bihar by facilitating the creation of birth certificates and Aadhar cards, thereby enabling them to enroll in school. | 0.8"
,,,,,,15316 | To facilitate the admission of children into school by obtaining necessary documents such as birth certificates and Aadhar cards in a timely manner | 0.7937
,,,,,,7653 | To enroll children in school by obtaining Aadhar cards for them | 0.8955
,,,,,,4251 | To enroll children in school by obtaining Aadhaar cards for them | 0.8765
,,,,,,12703 | To educate daughters and get Aadhar cards made | 0.7566
,,,,,,19715 | To solve the problem of children not having Aadhaar cards | 0.9171
,,,,,,29209 | To help children enroll in school by obtaining their Aadhar cards | 0.8891
,,,,,,15282 | To enroll Sandhya Kumari in school by obtaining an Aadhaar card | 0.7087
,,,,,,15274 | To help a child get an Aadhar card so they can attend school | 0.8479
,,,,,,15275 | To facilitate school admission by helping parents obtain Aadhar cards for their children | 0.8543
,,,,,,29001 | To educate the community about the importance of Aadhaar cards for children and to help them get enrolled in school | 0.8098
,,,,,,15276 | To correct the address in the Aadhar card to enable school admission | 0.7163
,,,,,,29007 | To help children get admission in school by making Aadhar cards | 0.8746
,,,,,,29010 | To resolve the issue of children not being enrolled in school due to Aadhaar card problems | 0.9019
,,,,,,15360 | To ensure Gudiya Kumari gets enrolled in school by obtaining an Aadhar card | 0.707
,,,,,,29011 | To improve school attendance by addressing the issue of lack of Aadhar cards | 0.8703
,,,,,,28843 | To increase enrollment by raising awareness about the importance of birth certificates and Aadhar cards for education | 0.7817
,,,,,,4030 | To get Aadhar and birth certificates made for 3 girls and enroll them in school | 0.7258
,,,,,,28848 | To get the Aadhar card made for her child to enable enrollment in school | 0.819
,,,,,,28849 | To solve the problem of not being enrolled in school due to lack of Aadhar card | 0.8688
,,,,,,3893 | To raise awareness about the importance of birth certificates and Aadhar cards for education and to facilitate their creation for children in the community | 0.7671
,,,,,,28850 | To improve education by helping people get their Aadhar cards made | 0.7856
,,,,,,28851 | To increase Aadhar card enrollment by addressing the issue of not having an Aadhar card | 0.7203
,,,,,,28852 | To get an Aadhar card made | 0.8178
,,,,,,29015 | To improve education by creating necessary documents like Aadhar cards and birth certificates for children in Saraya village | 0.7247
,,,,,,29016 | To improve education by spreading awareness about the importance of Aadhar cards and encouraging regular school attendance | 0.8082
,,,,,,"29023 | To ensure every child in the village has an Aadhar card, which is essential for accessing school benefits | 0.8421"
,,,,,,29024 | To help Pooja Kumari get an Aadhar card to receive benefits from the school | 0.7202
,,,,,,"17684 | To facilitate school admission by ensuring all children have an Aadhaar card, addressing the issue of lack of identification documents | 0.8799"
,,,,,,28885 | To ensure Gudiya Kumari is not expelled from school due to lack of an Aadhaar card | 0.7414
,,,,,,4119 | To help 9 children get admitted to school by creating their Aadhar cards | 0.854
,,,,,,4198 | To empower women by helping them create Aadhar cards and enroll their children in school | 0.7598
,,,,,,11475 | To educate the children of Tarachandi and secure the future of girls by enrolling them in school and making their Aadhar cards | 0.7319
,,,,,,"16957 | To facilitate Aadhar card enrollment for underprivileged children, addressing the issue of lack of identification and access to education | 0.8653"
,,,,,,15219 | To help a child get admission in school by obtaining an Aadhar card and birth certificate | 0.8029
